# Supplier-commodity combination of all 6 major global regions
# This is the most frequently used international supply chain framework
# Format: Supplier_Name, Commodity_Name, Country, Supplier_Tier, Industry_Sector

East Asia and Pacific: 
"Pronaca", "Poultry, processed meats and seafood products", "Ecuador", 1, "Food Processing/Agribusiness"
"La Fabril", "Edible oils and industrial fats", "Ecuador", 1, "Agribusiness/Oils"
"Yacimientos Petrolíferos Fiscales Bolivianos (YPFB)", "Natural gas, LPG and hydrocarbons", "Bolivia", 1, "Oil and Gas"
"Comibol (Compañía Minera de Bolivia - various state miners)", "Tin, silver, zinc, lead concentrates", "Bolivia", 1, "Mining"
"Glencore Bolivia (metal trading/operations)", "Zinc and other metal concentrates", "Bolivia", 1, "Commodities Trading/Mining"
"Ancap (Administración Nacional de Combustibles, Alcohol y Portland)", "Petroleum products, fuels", "Uruguay", 1, "Oil and Gas/Refining/Distribution"
"Conaprole", "Milk powder, dairy products", "Uruguay", 1, "Dairy/Food Processing"
"UPM Uruguay", "Eucalyptus pulp (pulp and paper), cellulose", "Uruguay", 1, "Pulp and Paper"
"PDVSA (Petróleos de Venezuela S.A.)", "Crude oil and petroleum products", "Venezuela", 1, "Oil and Gas"
"Monómeros Colombo Venezolanos", "Fertilizers and petrochemical derivatives", "Venezuela/Colombia links", 2, "Agrochemicals"
"Paraguay: Itaipu Binacional", "Hydroelectric power generation (electricity)", "Paraguay", 1, "Energy/Hydropower"
"Frigorífico Concepción", "Beef (boxed beef) and meat by-products", "Paraguay", 2, "Food Processing/Meat"
"Chiquita", "Bananas, tropical fruit exports", "Costa Rica", 1, "Agribusiness/Fruit Exports"
"Florida Ice and Farm Co.", "Beverages, bottled drinks", "Costa Rica", 2, "Beverages"
"Grupo Nacional de Chocolates (Ovidio de Jesús/Grupo Nutresa links)", "Chocolate, cocoa products", "Costa Rica", 2, "Food Processing"
"Dominican Republic – Consorcio de Empresas Azucareras", "Sugar, refined sugar products", "Dominican Republic", 2, "Agribusiness/Sugar"
"Jamaica Producers Group", "Beverages, bottling, consumer goods distribution", "Jamaica", 2, "Beverages/FMCG"
"Trinidad and Tobago", "Liquefied natural gas (LNG) production and export", "Trinidad and Tobago", 1, "Energy/LNG"
"Puerto Rico – Baxter BioPharma Solutions (manufacturing site)", "Pharmaceutical contract manufacturing and sterile injectables", "Puerto Rico", 2, "Pharmaceutical Manufacturing"
"Barcel", "Snack foods and processed snacks", "Puerto Rico", 2, "Food Processing/Snacks"
"Coffee Cooperatives (SME Exporters)", "Green coffee beans (arabica, robusta), roasted coffee", "Colombia", 2, "Agriculture/Coffee Exports"
"Coffee Cooperatives (SME Exporters)", "Green coffee beans (arabica, robusta), roasted coffee", "Guatemala", 2, "Agriculture/Coffee Exports"
"Coffee Cooperatives (SME Exporters)", "Green coffee beans (arabica, robusta), roasted coffee", "Honduras", 2, "Agriculture/Coffee Exports"
"Cocoa Cooperatives (Smallholder Exporters)", "Raw cocoa beans and premium cocoa", "Ecuador", 2, "Agriculture/Cocoa"
"Cocoa Cooperatives (Smallholder Exporters)", "Raw cocoa beans and premium cocoa", "Dominican Republic", 2, "Agriculture/Cocoa"
"Cocoa Cooperatives (Smallholder Exporters)", "Raw cocoa beans and premium cocoa", "Peru", 2, "Agriculture/Cocoa"
"Cargill/Louis Dreyfus/ADM (Local Subsidiaries)", "Grains, oilseeds, sugar, coffee (export origination)", "Brazil", 1, "Commodities Trading/Agribusiness"
"Cargill/Louis Dreyfus/ADM (Local Subsidiaries)", "Grains, oilseeds, sugar, coffee (export origination)", "Mexico", 1, "Commodities Trading/Agribusiness"
"Cargill/Louis Dreyfus/ADM (Local Subsidiaries)", "Grains, oilseeds, sugar, coffee (export origination)", "Argentina", 1, "Commodities Trading/Agribusiness"
"Cargill/Louis Dreyfus/ADM (Local Subsidiaries)", "Grains, oilseeds, sugar, coffee (export origination)", "Colombia", 1, "Commodities Trading/Agribusiness"

Middle East, North Africa, Afghanistan and Pakistan: 
"Saudi Arabian Oil Company (Aramco)", "Crude oil, refined fuels, LPG, naphtha, diesel, jet fuel, sulfur", "Saudi Arabia", 1, "Oil and Gas/Refining"
"SABIC (Saudi Basic Industries Corporation)", "Olefins, polyolefins, glycols, aromatics, engineering plastics, specialty chemicals", "Saudi Arabia", 1, "Petrochemicals/Polymers"
"Ma'aden (Saudi Arabian Mining Company)", "Phosphate rock, phosphate fertilizers, gold, aluminium", "Saudi Arabia", 1, "Mining and Metals"
"Saudi Arabian Fertilizer Company (SAFCO)", "Urea and ammonia", "Saudi Arabia", 1, "Fertilizers"
"Aramco (Jubail/Ras Tanura refineries)", "Fuel oil, gasoline, diesel, aviation fuels, base oils", "Saudi Arabia", 1, "Refining"
"Abu Dhabi National Oil Company (ADNOC)", "Crude oil, LNG, refined products, petrochemicals, naphtha, base oils", "United Arab Emirates", 1, "Oil and Gas/Petrochemicals"
"Emirates Global Aluminium (EGA)", "Primary aluminium ingots, billets, slabs", "United Arab Emirates", 1, "Aluminium/Metals"
"DP World", "Container terminal services, port and logistics handling", "United Arab Emirates", 2, "Logistics/Ports"
"Emirates Airline (cargo)", "Air freight logistics/air cargo services", "United Arab Emirates", 2, "Aviation/Logistics"
"Abu Dhabi National Energy Company (TAQA) – power and utilities", "Electricity generation, water desalination", "United Arab Emirates", 1, "Energy/Utilities"
"QatarEnergy", "Crude oil, LNG, condensate, natural gas liquids (NGLs)", "Qatar", 1, "Oil and Gas/LNG"
"Qatargas", "LNG production and export", "Qatar", 1, "LNG/Energy"
"Industries Qatar (IQ)", "Fertilizers (urea, ammonia), petrochemicals", "Qatar", 1, "Petrochemicals/Fertilizers"
"Kuwait Petroleum Corporation (KPC)", "Crude oil, refined fuels, LPG, petrochemicals", "Kuwait", 1, "Oil and Gas"
"Kuwait National Petroleum Company (KNPC)", "Refined petroleum products", "Kuwait", 1, "Refining"
"Bahrain Petroleum Company (BAPCO)", "Crude oil refining, fuels, lubricants", "Bahrain", 1, "Refining/Oil and Gas"
"Aluminium Bahrain (Alba)", "Primary aluminium ingots and billets", "Bahrain", 1, "Aluminium/Metals"
"National Iranian Oil Company (NIOC)", "Crude oil, natural gas, condensates", "Iran", 1, "Oil and Gas"
"Persian Gulf Petrochemical Industries Company (PGPIC affiliates)", "Petrochemicals, polymers, fertilizers", "Iran", 1, "Petrochemicals"
"Sonatrach", "Crude oil, LNG, LPG, refined products, petrochemicals", "Algeria", 1, "Oil and Gas/Petrochemicals"
"Algerian Fertilizers (Fertil)", "Phosphate and nitrogen fertilizers (local producers and blenders)", "Algeria", 2, "Fertilizers"
"Naftal", "Refined fuels and lubricants", "Algeria", 1, "Oil and Gas Distribution"
"National Oil Corporation (NOC)", "Crude oil, refined products (state oil company operations)", "Libya", 1, "Oil and Gas"
"Libya National Oil Corporation (downstream and export services)", "Crude oil and condensate exports", "Libya", 1, "Oil and Gas"
"OCP Group", "Phosphate rock, phosphoric acid, DAP, MAP, TSP—fertilizer products", "Morocco", 1, "Fertilizers/Mining" 
"Managem Group", "Base metals (copper, cobalt) and precious metals", "Morocco", 1, "Mining and Metals"
"Cosumar", "Raw and refined sugar", "Morocco", 2, "Agribusiness/Sugar"
"Egyptian General Petroleum Corporation (EGPC)", "Crude oil and refined hydrocarbon products", "Egypt", 1, "Oil and Gas"
"Egyptian Natural Gas Holding Company (EGAS)", "Natural gas supply and LNG", "Egypt", 1, "Gas/Energy"
"Orascom Construction", "Cement, construction materials and EPC services", "Egypt", 2, "Construction/Materials"
"Ezz Steel", "Rebar, steel products", "Egypt", 1, "Steel and Materials"
"Juhayna Food Industries", "Dairy products, juices and processed foods", "Egypt", 1, "Food Processing"
"Tunisian Chemical Group/Groupe chimique tunisien (GCT)", "Phosphate fertilizers (local production)", "Tunisia", 2, "Fertilizers/Chemicals"
"Compagnie des Phosphates de Gafsa (CPG)", "Phosphate rock and derivatives", "Tunisia", 2, "Mining/Fertilizers"
"National Iranian Copper Industries Co.", "Copper cathodes and concentrates", "Iran", 1, "Mining and Metals"
"SADAF Petrochemical/Persian Gulf petrochemical complexes", "Ethylene, propylene, polyolefins", "Iran", 1, "Petrochemicals"
"State Oil Marketing Organization (SOMO)/Iraq Oil", "Crude oil exports, condensates", "Iraq", 1, "Oil and Gas"
"North Oil Company", "Crude oil production and export", "Iraq", 1, "Oil and Gas"
"Teva Pharmaceutical Industries", "Generic pharmaceuticals and APIs", "Israel", 1, "Pharmaceuticals"
"Intel Israel", "Semiconductor RandD and wafers (Intel fabs)", "Israel", 1, "Semiconductors/Electronics"
"Israel Aerospace Industries (IAI)", "Aerospace systems, satellites, avionics components", "Israel", 1, "Aerospace and Defense"
"Iscar (IMC Group)", "Metal cutting tools and tooling systems", "Israel", 2, "Industrial Tools/Manufacturing"
"Jordan Phosphate Mines Company (JPMC)", "Phosphate rock, phosphoric acid", "Jordan", 1, "Fertilizers/Mining"
"Arab Potash Company (APC)", "Potash (MOP) and potash products", "Jordan", 1, "Fertilizers/Mining"
"Hikma Pharmaceuticals", "Pharmaceutical formulations and generics", "Jordan", 1, "Pharmaceuticals"
"Jordan Petroleum Refinery Company (JPRC)", "Refined fuels", "Jordan", 1, "Refining/Oil and Gas"
"Liban Coton/local textile exporters", "Textiles, woven fabrics and garments (export SMEs)", "Lebanon", 2, "Textiles and Apparel"
"Sannine Dairy/local dairy processors", "Cheese, milk products", "Lebanon", 2, "Food Processing"
"Palestine Trade Center/local olive oil exporters", "Extra virgin olive oil, olives", "Palestine", 2, "Agriculture/Olive Oil"
"Local apparel/handicraft exporters", "Textiles and handicrafts (SME exporters)", "Palestine", 2, "Textiles/Handicrafts"
"Kuwait Petroleum Corporation subsidiaries", "Crude oil, refined products and petrochemicals", "Kuwait", 1, "Oil and Gas"
"Oman Oil Company (OOC)", "Crude oil, refined fuels, LPG and petrochemical feedstocks", "Oman", 1, "Oil and Gas"
"Oman LNG", "LNG production and export", "Oman", 1, "LNG/Energy"
"Salalah Free Zone", "Port logistics and bulk commodity handling", "Oman", 2, "Logistics/Ports"
"Yemeni exporters", "Dried fish, coffee (limited exports), qat (domestic trade)", "Yemen", 2, "Fisheries/Agriculture (note: market/access constraints)"
"Yemen LNG", "LNG and gas infrastructure", "Yemen", 2, "LNG/Energy (project-level)"
"Kabul Saffron exporters", "Saffron (export-quality), dried fruits (apricots, raisins)", "Afghanistan", 2, "Agriculture/Spices"
"Afghan Fruits Ltd.", "Dried fruits (apricots, raisins), nuts", "Afghanistan", 2, "Agriculture/Dried Fruits"
"Engro Corporation/Engro Fertilizers", "Urea, DAP, specialty fertilizers, petrochemicals", "Pakistan", 1, "Fertilizers/Petrochemicals"
"Fauji Fertilizer Company (FFC)", "Urea and fertilizer blends", "Pakistan", 1, "Fertilizers"
"Lucky Cement", "Cement and clinker", "Pakistan", 1, "Cement and Construction Materials"
"Pakistan State Oil (PSO)", "Refined petroleum products, LPG, lubricants", "Pakistan", 1, "Oil and Gas"
"Nishat Mills Limited", "Cotton yarn, fabrics and garments", "Pakistan", 1, "Textiles and Apparel"
"Millat Tractors", "Tractors and agricultural machinery", "Pakistan", 2, "Machinery/Agriculture"
"National Foods Limited", "Spices, cooking pastes and packaged foods", "Pakistan", 2, "Food Processing/FMCG"
"Packages Limited", "Packaging materials, corrugated boxes, flexible packaging", "Pakistan", 2, "Packaging/Manufacturing"
"State Organization for Marketing of Oil (SOMO) partners", "Crude oil", "Iraq", 1, "Oil and Gas"
"Chadormalu Mining Company", "Iron ore concentrate and pellets", "Iran", 1, "Mining and Metals"
"National Petrochemical Company (NPC)", "Methanol, urea, polymers and petrochemical intermediates", "Iran", 1, "Petrochemicals"
"Cevital Group", "Food processing (sugar, edible oils), steel distribution", "Algeria", 2, "FMCG/Industrial"
"Naftal", "Fuel distribution and marketing", "Algeria", 1, "Oil and Gas Distribution"

Sub-Saharan Africa:
"Sasol", "Diesel, gasoline, naphtha, LPG, olefins, polymers, ammonia, methanol, solvents", "South Africa", 1, "Chemicals and Fuels"
"Anglo American", "Platinum group metals, diamonds, iron ore, coal", "South Africa", 1, "Metals and Mining"
"Impala Platinum (Implats)", "Platinum group metals (PGMs), palladium, rhodium", "South Africa", 1, "Metals and Mining"
"Sibanye-Stillwater", "Platinum, palladium, gold, base metals", "South Africa", 1, "Metals and Mining"
"Gold Fields", "Gold (mining and doré), base metal by-products", "South Africa", 1, "Mining"
"Harmony Gold", "Gold mining and related commodities", "South Africa", 1, "Mining"
"Kumba Iron Ore", "Iron ore (lump and fines)", "South Africa", 1, "Mining/Iron Ore"
"Exxaro Resources", "Thermal and metallurgical coal", "South Africa", 1, "Coal/Mining"
"ArcelorMittal South Africa", "Steel products (flat and long steel)", "South Africa", 1, "Steel and Materials"
"Nampak", "Packaging products (metal, glass, paper packaging)", "South Africa", 2, "Packaging/Manufacturing"
"Tiger Brands", "Processed foods and consumer food products", "South Africa", 1, "Food Processing"
"Shoprite Holdings", "Retail goods (food and grocery distribution)", "South Africa", 2, "Retail/Distribution"
"Bidvest Group", "Industrial supplies, food services, distribution", "South Africa", 2, "Distribution/Services"
"MTN Group", "Telecom services and network equipment", "South Africa", 2, "Telecommunications"
"Debswana Diamond Company", "Rough diamonds (gem and industrial)", "Botswana", 1, "Diamonds/Mining"
"De Beers", "Rough diamonds and diamond sorting/trading", "Botswana", 1, "Diamonds/Trading"
"Lucara Botswana", "Large gem diamonds (specialty)", "Botswana", 2, "Diamonds"
"Namdeb", "Rough diamonds (marine and land)", "Namibia", 1, "Diamonds/Mining"
"Rössing Uranium", "Uranium concentrate (U3O8)", "Namibia", 1, "Uranium/Mining"
"Skorpion Zinc", "Zinc concentrate/refined zinc", "Namibia", 2, "Base Metals"
"Dangote Cement (Dangote Group)", "Cement (Obajana, Ibeshe capacities), clinker", "Nigeria", 1, "Cement and Building Materials"
"Dangote Sugar", "Refined sugar, raw sugar", "Nigeria", 1, "Food Processing/Sugar"
"Dangote Fertilizer", "Urea fertilizer (large scale ammonia and urea)", "Nigeria", 1, "Fertilizers"
"Nigerian National Petroleum Corporation (NNPC)", "Crude oil, refined petroleum products (via subsidiaries)", "Nigeria", 1, "Oil and Gas"
"Seplat Energy", "Crude oil and natural gas (upstream production)", "Nigeria", 1, "Oil and Gas"
"Flour Mills of Nigeria", "Wheat flour, edible oils, packaged foods", "Nigeria", 1, "Food Processing"
"Nestlé Nigeria", "Packaged foods, beverages, dairy products", "Nigeria", 1, "FMCG"
"Oando PLC", "Oil and gas exploration and refined products", "Nigeria", 1, "Oil and Gas"
"TotalEnergies", "Crude oil, refined fuels, LPG", "Angola", 1, "Oil and Gas"
"Sonangol", "Crude oil, LNG (contracts and trading)", "Angola", 1, "Oil and Gas"
"Vale Moatize", "Thermal coal (Moatize mine)", "Mozambique", 1, "Coal/Mining"
"Mozal", "Primary aluminium (smelting output)", "Mozambique", 1, "Aluminium/Metals"
"Ancuabe Graphite/Erstwhile projects", "Graphite concentrate (project-level)", "Mozambique", 2, "Mining/Graphite"
"First Quantum Minerals", "Copper concentrate, copper cathode, gold by-products", "Zambia", 1, "Copper/Mining"
"Konkola Copper Mines (KCM)", "Copper concentrate and refined copper (historical operations)", "Zambia", 1, "Copper"
"Zambia Consolidated Copper Mines", "Copper stake holdings and mining investments", "Zambia", 2, "Mining Investments"
"Glencore", "Copper and cobalt concentrates (trading and processing)", "Democratic Republic of the Congo", 1, "Commodities Trading/Mining"
"Gécamines", "Copper and cobalt concentrates (state miner)", "Democratic Republic of the Congo", 1, "Metals and Mining"
"Tenke Fungurume Mining", "Copper and cobalt concentrates", "Democratic Republic of the Congo", 1, "Copper and Cobalt"
"MMG Ltd", "Copper concentrate", "Democratic Republic of the Congo", 1, "Mining"
"Newmont", "Gold (large scale mine output)", "Ghana", 1, "Gold/Mining"
"AngloGold Ashanti", "Gold (multiple Ghana and African operations)", "Ghana", 1, "Gold/Mining"
"Gold Fields Ghana Limited (GFGL)", "Gold production (Ghana operations)", "Ghana", 1, "Gold/Mining"
"Cocoa Research Institute and major exporters (Cargill Ghana/Olam Ghana)", "Cocoa beans (export quality)", "Ghana", 1, "Agriculture/Cocoa Exports"
"Golden Star Resources", "Gold (small/medium mine outputs)", "Ghana", 2, "Gold/Mining"
"Côte d'Ivoire — Cargill Côte d'Ivoire", "Cocoa beans, cocoa liquor and cocoa intermediate processing", "Côte d'Ivoire", 1, "Cocoa/Agribusiness"
"Olam International (Ivory Coast operations)", "Cocoa, coffee, cashew, rubber (origination and processing)", "Côte d'Ivoire", 1, "Agribusiness/Commodities"
"Barry Callebaut (sourcing ops)", "Cocoa sourcing and semi-processed cocoa products", "Côte d'Ivoire", 1, "Food Ingredients"
"Ethiopian Coffee Exporters (Ethiopia Commodity Exchange participants)", "Green coffee (arabica), roasted/processed coffee", "Ethiopia", 1, "Agriculture/Coffee"
"Ethiopian Sugar Corporation", "Raw sugar, refined sugar (state and large sugar estates)", "Ethiopia", 1, "Agriculture/Sugar"
"Ethiopian Petroleum Supply Enterprise (state)", "Fuel distribution and refined products", "Ethiopia", 2, "Oil and Gas Distribution"
"Kenya Tea Development Agency (KTDA)", "Black tea (CTC), green tea exports", "Kenya", 1, "Agriculture/Tea Exports"
"Sasini PLC (tea and coffee grower/processor)", "Tea, coffee, macadamia nuts", "Kenya", 2, "Agribusiness"
"Equatorial Coffee Producers (exporters)", "Green coffee beans (arabica)", "Kenya", 2, "Coffee/Agriculture"
"Tanzania Tea Packers and Growers (smallholders)", "Tea (bulk and packaged), cloves (spice exports)", "Tanzania", 2, "Agriculture/Tea and Spices"
"Acacia Mining", "Gold (artisanal and industrial)", "Tanzania", 1, "Gold/Mining"
"Twiga Foods", "Fresh produce aggregation (fruits, vegetables)", "Tanzania", 2, "Agri Aggregation/Logistics"
"Uganda Coffee Development Authority/cooperative exporters", "Robusta and arabica coffee beans (green and roasted)", "Uganda", 2, "Agriculture/Coffee"
"Tea exporters (Kapchorwa and Western plantations)", "Black tea", "Uganda", 2, "Agriculture/Tea"
"Rwanda Tea and Coffee exporters (e.g., Rwanda Trading Company)", "Specialty coffee (washed, premium), tea", "Rwanda", 2, "Agriculture/Coffee and Tea"
"Burundi coffee cooperatives (ABUCA/other exporters)", "Green coffee (arabica) and specialty lots", "Burundi", 2, "Agriculture/Coffee"
"Vanilla cooperatives (SAVA region exporters)", "Vanilla bean (bourbon vanilla), cloves, lychees", "Madagascar", 2, "Agriculture/Spices"
"Shand Construction and quarry suppliers", "Limestone, sands and aggregates (construction)", "Madagascar", 2, "Mining/Aggregates"
"ENH (Empresa Nacional de Hidrocarbonetos) partners", "Natural gas, LNG upstream interests", "Mozambique", 1, "Oil and Gas"
"Vale (Moatize coal mine)", "Thermal coal (export quality)", "Mozambique", 1, "Coal/Mining"
"African Minerals and local coal exporters (regional)", "Coal and mineral concentrates (project-level)", "Mozambique", 2, "Mining"
"Zimplats", "Platinum group metals (PGMs)", "Zimbabwe", 1, "PGMs/Mining"
"Zimbabwe Mining Development Corporation (ZMDC)", "Chromium, gold, nickel, coal", "Zimbabwe", 2, "Metals and Mining"
"Ariston Holdings/dairy and food processors", "Dairy products and processed foods", "Zimbabwe", 2, "Food Processing"
"Terra Mauricia/sugar exporters and sugar milling groups", "Refined sugar, raw sugar, molasses", "Mauritius", 2, "Agribusiness/Sugar"
"Seychelles Tuna Processors", "Canned tuna, frozen fish", "Seychelles", 2, "Fisheries"
"Namdeb (De Beers JV)", "Rough diamonds (land and marine)", "Namibia", 1, "Diamonds"
"Rossing uranium Langer Heinrich", "Uranium concentrate (U3O8)", "Namibia", 1, "Uranium/Mining"
"Cameroon Development Corporation (CDC)/agro groups", "Rubber, cocoa, oil palm produce (bulk)", "Cameroon", 2, "Agribusiness"
"Société Nationale des Hydrocarbures", "Crude oil and gas (offshore fields and exports)", "Cameroon", 1, "Oil and Gas"
"Société d'Exploitation du Transgabonais (mining and timber links)/Eramet (Gabon operations)", "Manganese, iron ore, timber exports", "Gabon", 2, "Mining/Timber"
"Cominor/oil and timber exporters", "Crude oil, timber, logs (selected exporters)", "Congo (Brazzaville)", 2, "Oil and Timber"
"Tullow Oil, Tema oil terminal partners", "Crude oil production and petroleum services", "Ghana", 1, "Oil and Gas"
"Glico", "Processed foods and cocoa intermediates", "Ghana", 2, "Food Processing"
"Société des Mines de Morila", "Gold (production and artisanal aggregates)", "Mali", 2, "Gold/Mining"
"Burkina Faso — mining firms (e.g., Endeavour Mining operations)", "Gold (open pit and underground production)", "Burkina Faso", 1, "Gold/Mining"
"SOMDIAA Group", "Sugar, wheat, maize flour, animal feed", "Senegal", 2, "Agribusiness"
"Compagnie Sucrière Sénégalaise (CSS)", "Sugar", "Senegal", 2, "Agribusiness"
"Sangha Resources", "Phosphate and mineral exploration outputs", "Senegal", 2, "Mining"
"Compagnie des Bauxites de Guinée (CBG)", "Bauxite (export ore)", "Guinea", 1, "Bauxite/Mining"
"Société Minière de Boké (SMB) and Rio Tinto bauxite interests", "Bauxite and alumina feedstock", "Guinea", 1, "Bauxite/Mining"
"Ivory Coast (Côte d'Ivoire) — SIFCA Group", "Palm oil, sugar, rubber (agribusiness products)", "Côte d'Ivoire", 1, "Agribusiness"
"Smallholder cotton and cashew exporters", "Raw cashew nuts, cotton lint", "Benin", 2, "Agriculture/Cashew and Cotton"
"Sierra Rutile Limited", "Titanium minerals (rutile), ilmenite concentrates", "Sierra Leone", 2, "Minerals/Heavy Minerals"
"Cashew exporters and cooperatives", "Raw cashew nuts (export)", "Guinea-Bissau", 2, "Agriculture/Cashew Exports"
"Illovo", "Raw and refined sugar (estate production)", "Malawi", 2, "Agribusiness/Sugar"
"Mopani Copper Mines", "Copper concentrates and cobalt by-products", "Zambia", 1, "Copper/Mining"
"São Tomé and Príncipe — cocoa cooperatives and smallholder exporters", "Cocoa beans (specialty and bulk)", "São Tomé and Príncipe", 2, "Agriculture/Cocoa"
